ts_kst,open,high,low,close,volume,quote_volume,trades
2025-09-13T14:44:59.999000+09:00,115740.8,115760.6,115648.2,115710.5,402.138,46526714.0039,9117
2025-09-13T14:59:59.999000+09:00,115710.5,115710.6,115600.0,115656.7,636.607,73618111.4627,11806
2025-09-13T15:14:59.999000+09:00,115656.7,115754.0,115653.8,115654.1,552.644,63942880.907,13315
2025-09-13T15:29:59.999000+09:00,115654.0,115654.0,115594.9,115638.8,388.836,44954916.4831,10220
2025-09-13T15:44:59.999000+09:00,115638.9,115673.0,115638.0,115669.8,211.909,24508625.2538,6351
2025-09-13T15:59:59.999000+09:00,115669.9,115714.0,115608.0,115695.7,408.966,47300216.7351,10064
2025-09-13T16:14:59.999000+09:00,115695.7,115799.8,115650.0,115789.5,461.478,53405654.9399,9748
2025-09-13T16:29:59.999000+09:00,115789.5,115810.0,115766.9,115766.9,389.081,45052782.6518,8520
2025-09-13T16:44:59.999000+09:00,115766.9,115802.0,115742.4,115745.4,432.302,50048522.3205,8436
2025-09-13T16:59:59.999000+09:00,115745.4,115745.4,115715.5,115715.5,300.266,34752350.1024,5199
2025-09-13T17:14:59.999000+09:00,115715.5,115749.9,115715.5,115735.8,354.941,41076479.6469,7265
2025-09-13T17:29:59.999000+09:00,115735.7,115810.9,115718.0,115810.8,309.837,35865635.7283,8437
2025-09-13T17:44:59.999000+09:00,115810.9,116011.0,115808.4,115929.7,928.155,107588644.8206,17155
2025-09-13T17:59:59.999000+09:00,115929.7,115945.0,115904.2,115913.3,251.269,29127973.6454,6889
2025-09-13T18:14:59.999000+09:00,115913.3,115966.4,115820.1,115846.7,752.619,87223862.894,11830
2025-09-13T18:29:59.999000+09:00,115846.8,115846.8,115812.0,115812.1,299.089,34642737.7083,5609
2025-09-13T18:44:59.999000+09:00,115812.0,115850.0,115811.0,115850.0,265.43,30743983.8246,8895
2025-09-13T18:59:59.999000+09:00,115850.0,115988.2,115835.4,115969.7,542.001,62826858.0654,11472
2025-09-13T19:14:59.999000+09:00,115969.7,116126.0,115898.0,116074.0,816.947,94768633.0447,19520
2025-09-13T19:29:59.999000+09:00,116074.0,116083.0,115964.6,115964.6,364.094,42249241.2126,10147
2025-09-13T19:44:59.999000+09:00,115964.6,116015.0,115900.8,115996.3,441.345,51180238.4281,10133
2025-09-13T19:59:59.999000+09:00,115996.2,116029.5,115849.9,115882.7,553.141,64131778.1702,11035
2025-09-13T20:14:59.999000+09:00,115882.7,115895.0,115824.4,115831.2,321.104,37201774.896,9524
2025-09-13T20:29:59.999000+09:00,115831.2,115859.9,115831.1,115854.9,187.692,21742997.0238,5591
2025-09-13T20:44:59.999000+09:00,115854.9,115956.1,115854.9,115933.2,349.419,40500024.3373,7708
2025-09-13T20:59:59.999000+09:00,115933.2,115933.3,115900.0,115912.9,160.544,18609314.2261,4932
2025-09-13T21:14:59.999000+09:00,115913.0,115913.0,115824.2,115824.3,311.258,36059430.7942,8921
2025-09-13T21:29:59.999000+09:00,115824.2,115830.0,115800.1,115822.6,258.887,29982630.0382,6041
2025-09-13T21:44:59.999000+09:00,115822.6,116013.7,115822.6,115976.1,542.747,62925895.5295,10046
2025-09-13T21:59:59.999000+09:00,115976.1,115976.1,115947.4,115947.5,148.173,17182700.6276,4867
2025-09-13T22:14:59.999000+09:00,115947.5,115947.5,115861.4,115861.5,236.173,27372226.6341,10980
2025-09-13T22:29:59.999000+09:00,115861.4,115930.8,115846.1,115906.9,230.387,26695801.3622,8172
2025-09-13T22:44:59.999000+09:00,115906.9,115907.0,115788.4,115788.4,260.076,30126500.522,9263
2025-09-13T22:59:59.999000+09:00,115788.4,115809.6,115566.0,115706.4,1432.994,165764549.36,33962
2025-09-13T23:14:59.999000+09:00,115706.4,115764.4,115546.1,115639.9,1284.689,148575028.6988,32502
2025-09-13T23:29:59.999000+09:00,115639.9,115906.8,115631.7,115850.0,1244.4,144112762.2127,22283
2025-09-13T23:44:59.999000+09:00,115850.0,115879.5,115739.0,115808.0,554.169,64165331.3148,14855
2025-09-13T23:59:59.999000+09:00,115807.9,115844.1,115738.8,115750.0,392.307,45419221.758,11513
2025-09-14T00:14:59.999000+09:00,115750.1,115836.0,115700.0,115807.3,324.201,37534885.8193,9436
2025-09-14T00:29:59.999000+09:00,115807.2,115885.3,115774.7,115774.7,270.525,31335311.4301,9031
2025-09-14T00:44:59.999000+09:00,115774.8,115787.3,115555.0,115699.9,1220.301,141135913.3084,27559
2025-09-14T00:59:59.999000+09:00,115699.9,115757.1,115629.6,115721.3,392.103,45363171.3324,12471
2025-09-14T01:14:59.999000+09:00,115721.4,115780.3,115559.3,115598.0,759.83,87879898.4356,19757
2025-09-14T01:29:59.999000+09:00,115598.0,115603.5,115400.0,115500.1,2106.695,243313718.3386,36842
2025-09-14T01:44:59.999000+09:00,115500.1,115544.3,115032.0,115390.1,3115.927,359156239.5769,45406
2025-09-14T01:59:59.999000+09:00,115390.0,115395.5,115165.6,115286.6,2217.122,255581109.7325,43431
2025-09-14T02:14:59.999000+09:00,115286.6,115354.1,115127.2,115180.1,1530.879,176412847.3923,40157
2025-09-14T02:29:59.999000+09:00,115180.1,115405.4,115173.6,115337.4,680.907,78524084.5353,16852
2025-09-14T02:44:59.999000+09:00,115337.3,115529.7,115336.7,115467.7,1056.14,121937536.8124,18362
2025-09-14T02:59:59.999000+09:00,115467.7,115544.0,115460.0,115518.7,328.905,37994688.4283,8169
2025-09-14T03:14:59.999000+09:00,115518.8,115524.9,115373.1,115516.7,565.672,65308915.5884,12825
2025-09-14T03:29:59.999000+09:00,115516.6,115627.7,115469.9,115596.8,381.429,44076847.8254,9637
2025-09-14T03:44:59.999000+09:00,115596.7,115596.8,115446.9,115538.0,374.688,43276175.3737,7450
2025-09-14T03:59:59.999000+09:00,115537.9,115594.1,115521.7,115594.0,238.855,27601882.1347,5744
2025-09-14T04:14:59.999000+09:00,115593.9,115615.3,115531.0,115569.9,395.869,45757360.5869,10460
2025-09-14T04:29:59.999000+09:00,115570.0,115626.2,115519.6,115600.7,287.865,33270677.4266,8187
2025-09-14T04:44:59.999000+09:00,115600.7,115673.0,115600.7,115670.6,236.17,27313217.9272,8427
2025-09-14T04:59:59.999000+09:00,115670.5,115763.1,115626.8,115751.4,727.141,84131224.6206,16137
2025-09-14T05:14:59.999000+09:00,115751.4,115946.4,115745.6,115881.2,1060.786,122919648.9197,23659
2025-09-14T05:29:59.999000+09:00,115881.3,115890.6,115826.7,115888.0,281.202,32578786.5155,7682
