ts_kst,open,high,low,close,volume,quote_volume,trades
2025-09-23T12:14:59.999000+09:00,0.4232,0.4256,0.4214,0.4255,12511054.8,5288385.70551,8188
2025-09-23T12:29:59.999000+09:00,0.4254,0.432,0.4253,0.4317,13423510.0,5761508.64269,8655
2025-09-23T12:44:59.999000+09:00,0.4317,0.4348,0.4317,0.433,9151080.5,3964938.34387,7361
2025-09-23T12:59:59.999000+09:00,0.433,0.4335,0.4312,0.4317,5069632.8,2191980.02401,4401
2025-09-23T13:14:59.999000+09:00,0.4316,0.4335,0.43,0.4301,5600488.6,2417601.97281,4768
2025-09-23T13:29:59.999000+09:00,0.4301,0.4302,0.4278,0.4282,3904387.1,1674788.10616,4149
2025-09-23T13:44:59.999000+09:00,0.4282,0.429,0.4266,0.4283,4439463.2,1899863.12427,4310
2025-09-23T13:59:59.999000+09:00,0.4283,0.4287,0.4267,0.4277,2199118.3,940605.29223,2827
2025-09-23T14:14:59.999000+09:00,0.4276,0.4279,0.425,0.4273,4927120.0,2100848.05334,4537
2025-09-23T14:29:59.999000+09:00,0.4273,0.4277,0.4246,0.4269,4037234.8,1719698.87607,3851
2025-09-23T14:44:59.999000+09:00,0.4269,0.4302,0.4268,0.4282,6761339.5,2898100.28312,4848
2025-09-23T14:59:59.999000+09:00,0.4282,0.4284,0.4263,0.4268,4043848.3,1728306.95535,3498
2025-09-23T15:14:59.999000+09:00,0.4268,0.4304,0.4267,0.4299,4741161.5,2033562.70824,4508
2025-09-23T15:29:59.999000+09:00,0.4299,0.4318,0.4292,0.4315,4078274.1,1757567.12436,3590
2025-09-23T15:44:59.999000+09:00,0.4314,0.4348,0.4312,0.4341,7425936.3,3219342.31756,5584
2025-09-23T15:59:59.999000+09:00,0.4341,0.4357,0.4334,0.4352,6262714.6,2722649.04626,4534
2025-09-23T16:14:59.999000+09:00,0.4352,0.4354,0.4334,0.434,4390849.6,1906868.74953,3849
2025-09-23T16:29:59.999000+09:00,0.434,0.4358,0.4332,0.4338,4403268.2,1913343.44852,3438
2025-09-23T16:44:59.999000+09:00,0.4338,0.4354,0.4329,0.4342,4793699.8,2081836.40152,4046
2025-09-23T16:59:59.999000+09:00,0.4343,0.4355,0.4341,0.4345,2643044.4,1149378.20789,2743
