ts_kst,open,high,low,close,volume,quote_volume,trades
2025-09-17T17:59:59.999000+09:00,4500.9,4511.94,4498.5,4509.28,34892.494,157258385.82636,38813
2025-09-17T18:14:59.999000+09:00,4509.29,4509.29,4502.26,4504.01,20669.133,93125342.53972,21649
2025-09-17T18:29:59.999000+09:00,4504.0,4508.33,4499.01,4505.47,17979.453,80972223.22919,22549
2025-09-17T18:44:59.999000+09:00,4505.48,4507.83,4499.17,4501.89,20216.386,91047114.73392,25279
2025-09-17T18:59:59.999000+09:00,4501.9,4502.89,4492.53,4493.08,29576.657,132989375.61653,26970
2025-09-17T19:14:59.999000+09:00,4493.09,4499.4,4488.0,4488.6,31202.337,140217084.43867,32074
2025-09-17T19:29:59.999000+09:00,4488.61,4491.18,4481.16,4483.31,33542.922,150449643.98025,34984
2025-09-17T19:44:59.999000+09:00,4483.31,4489.0,4478.19,4485.89,29757.882,133407817.76187,31459
2025-09-17T19:59:59.999000+09:00,4485.89,4486.8,4477.0,4481.86,33188.488,148729458.84401,35509
2025-09-17T20:14:59.999000+09:00,4481.85,4488.52,4477.34,4487.54,30654.161,137432787.50181,32671
2025-09-17T20:29:59.999000+09:00,4487.54,4496.14,4484.83,4491.41,30836.384,138470038.63727,26793
2025-09-17T20:44:59.999000+09:00,4491.4,4492.3,4487.31,4488.56,14849.789,66675368.34379,17051
2025-09-17T20:59:59.999000+09:00,4488.55,4493.97,4488.55,4489.22,12472.075,56019225.56694,20321
2025-09-17T21:14:59.999000+09:00,4489.23,4492.3,4481.23,4488.36,23151.852,103899319.60366,28979
2025-09-17T21:29:59.999000+09:00,4488.35,4505.01,4482.91,4504.16,32246.141,144954425.49419,35146
2025-09-17T21:44:59.999000+09:00,4504.15,4512.17,4490.23,4496.73,44598.005,200806772.08426,51021
2025-09-17T21:59:59.999000+09:00,4496.73,4504.69,4494.18,4500.39,19445.395,87512057.84624,24778
2025-09-17T22:14:59.999000+09:00,4500.38,4509.39,4498.64,4504.7,17957.082,80891459.04409,26996
2025-09-17T22:29:59.999000+09:00,4504.69,4510.5,4501.28,4502.62,15669.85,70617399.97501,26559
2025-09-17T22:44:59.999000+09:00,4502.63,4504.91,4481.1,4487.78,60885.329,273338945.6138,83213
2025-09-17T22:59:59.999000+09:00,4487.79,4504.84,4483.81,4494.09,41768.88,187839671.43026,62025
2025-09-17T23:14:59.999000+09:00,4494.09,4502.0,4490.4,4498.8,19757.96,88832563.58416,41284
2025-09-17T23:29:59.999000+09:00,4498.8,4500.47,4465.0,4472.55,62830.868,281434520.52994,69925
2025-09-17T23:44:59.999000+09:00,4472.55,4487.79,4465.0,4483.99,57039.175,255348768.90117,65786
2025-09-17T23:59:59.999000+09:00,4483.98,4493.6,4476.73,4488.1,28572.898,128164819.96581,36487
2025-09-18T00:14:59.999000+09:00,4488.1,4496.79,4484.34,4494.4,23538.838,105691866.55987,36713
